"","bodyid","glomerulus","soma_side","modality","cable.length.um","presyn.glom","presyn"
"1079",2071974975,"VL2p","ipsilateral","olfactory",142.026892086263,111,111
"1080",2072070166,"VC3l","ipsilateral","olfactory",124.977433891107,81,81
"1081",2072397710,"VC3l","contralateral","olfactory",73.8291307880336,51,54
"1082",2072657167,"VL2p","contralateral","olfactory",101.948944246496,48,48
"1083",2072661366,"VL2p","contralateral","olfactory",91.885342979639,36,36
"1084",2073049935,"VC1","contralateral","olfactory",131.596595362807,96,96
"1085",2073343163,"VL2a","contralateral","olfactory",73.9128628932337,37,40
"1086",2073386494,"VC1",NA,"olfactory",124.083191805171,85,86
"1087",2073386503,"VC1","ipsilateral","olfactory",150.943271422745,115,117
"1088",2073386507,"VC1",NA,"olfactory",121.158854548881,91,92
"1089",2073390652,"VC1","ipsilateral","olfactory",122.429437574811,86,96
"1090",2073390873,"VC1","contralateral","olfactory",92.968984620008,76,76
"1091",2073723397,"VC1","contralateral","olfactory",90.4906245288729,83,88
"1092",2073723619,"VC1","contralateral","olfactory",147.066287899362,111,113
"1093",2074033750,"VL2a","contralateral","olfactory",54.838390900832,37,37
"1094",2074413812,"VC1","contralateral","olfactory",72.4735886159004,75,75
"1095",2074720301,"VL2a","ipsilateral","olfactory",116.286859184196,89,90
"1096",2100670439,"VP3","unilateral","thermo-hygro",531.049223781911,647,689
"1097",2101685376,"VP1l","unilateral","thermo-hygro",268.965177625456,231,241
"1098",2103079192,"VC3l","ipsilateral","olfactory",132.769363591798,78,78
"1099",2103100204,"VC3l","contralateral","olfactory",89.27448639308,45,45
"1100",2103104764,"VC3l",NA,"olfactory",90.6419404647921,46,46
"1101",2103104826,"VC3l","ipsilateral","olfactory",121.384220891164,90,94
"1102",2103423940,"VC3l",NA,"olfactory",68.2067658616945,37,37
"1103",2103428527,"VC3l","ipsilateral","olfactory",126.377894450834,89,90
"1104",2103441206,"VC3l","ipsilateral","olfactory",170.334446897489,68,70
"1105",2103445501,"VC3l",NA,"olfactory",39.6280848465501,19,19
"1106",2103445598,"VC3l",NA,"olfactory",48.420292970388,19,19
"1107",2104429901,"VC1","ipsilateral","olfactory",190.893381179851,95,95
"1108",2131372466,"VP5","unilateral","thermo-hygro",209.371842131967,185,190
"1109",2131372546,"VP5","unilateral","thermo-hygro",179.98297091393,174,182
"1110",2131372734,"VP5","unilateral","thermo-hygro",184.08358473907,196,200
"1111",2131372750,"VP5","unilateral","thermo-hygro",201.72327998558,202,205
"1112",2131377138,"VP5","unilateral","thermo-hygro",201.62357799505,196,203
"1113",2131696932,"VP3","unilateral","thermo-hygro",597.874438269517,625,664
"1114",2131705304,"VP5","unilateral","thermo-hygro",196.567890575018,185,186
"1115",2131709474,"VP5","unilateral","thermo-hygro",220.113136256447,200,204
"1116",2131713897,"VP5","unilateral","thermo-hygro",187.076102309532,196,200
"1117",2132037566,"VP3","unilateral","thermo-hygro",628.979019835633,622,669
"1118",2133060479,"VP1l","unilateral","thermo-hygro",273.673655055991,242,258
"1119",2134817763,"VC3l","ipsilateral","olfactory",102.150793334304,60,60
"1120",2135145228,"VC3l","ipsilateral","olfactory",114.2916938912,92,92
"1121",2135482607,"VC3l","ipsilateral","olfactory",121.564235047047,66,66
"1122",2138849727,"VL1","unilateral","olfactory",124.170360178441,83,86
"1123",2162402915,"VP5","unilateral","thermo-hygro",161.977219554842,188,194
"1124",2162739943,"VP5","unilateral","thermo-hygro",196.776541713542,192,202
"1125",2163102697,"VP2","unilateral","thermo-hygro",537.744177775184,411,434
"1126",2165830935,"VC3l","ipsilateral","olfactory",121.430292247083,75,77
"1127",2169198172,"VL1","unilateral","olfactory",127.351950645141,75,75
"1128",2169198190,"VL1","unilateral","olfactory",134.469908977775,79,79
"1129",2169538985,"VL1","unilateral","olfactory",153.420403452743,84,84
"1130",2197158842,"VL1","unilateral","olfactory",172.965320778019,88,88
"1131",2197158864,"VL1","unilateral","olfactory",162.745051457004,77,79
"1132",2197163510,"VL1","unilateral","olfactory",118.961772516568,48,48
"1133",2197500539,"VL1","unilateral","olfactory",130.066695829944,87,92
"1134",2197841544,"VL1","unilateral","olfactory",112.968564930203,73,73
"1135",2200228723,"V","unilateral","olfactory",266.31452314422,154,168
"1136",2200228767,"V","unilateral","olfactory",242.666355340437,126,165
"1137",2200228798,"V","unilateral","olfactory",314.450275016489,172,176
"1138",2200569724,"V","unilateral","olfactory",304.364581895353,135,142
"1139",2228190346,"VL1","unilateral","olfactory",150.350414651288,86,91
"1140",2228194261,"VL1","unilateral","olfactory",100.438692009581,44,44
"1141",2228198564,"VL1","unilateral","olfactory",133.371531522682,85,85
"1142",2228202851,"VL1","unilateral","olfactory",158.086611882012,81,81
"1143",2228531013,"VL1","unilateral","olfactory",121.388990424674,71,76
"1144",2228535037,"VL1","unilateral","olfactory",144.798764339803,78,78
"1145",2228544091,"VL1","unilateral","olfactory",45.1416070658966,30,30
"1146",2228548225,"VL1","unilateral","olfactory",157.428020371829,86,89
"1147",2228885032,"VL1","unilateral","olfactory",166.851676071877,88,88
"1148",2229212992,"VL1","unilateral","olfactory",125.041142195642,75,78
"1149",2229221710,"VL1","unilateral","olfactory",122.426137219383,75,75
"1150",2229230439,"VL1","unilateral","olfactory",167.146455176554,65,65
"1151",2229558578,"VL1","unilateral","olfactory",171.835740910462,83,83
"1152",2230926964,"V","unilateral","olfactory",261.261632949039,160,168
"1153",2230931053,"V","unilateral","olfactory",295.526279865077,184,199
"1154",2230931077,"V","unilateral","olfactory",267.167143861147,142,170
"1155",2230931155,"V","unilateral","olfactory",288.284184615258,158,175
"1156",2231284881,"V","unilateral","olfactory",292.918012109502,174,184
"1157",2231289277,"V","unilateral","olfactory",349.813329113838,174,180
"1158",2231289333,"V","unilateral","olfactory",420.709101087575,181,182
"1159",2231289424,"V","unilateral","olfactory",335.801363045173,164,170
"1160",2231289459,"V","unilateral","olfactory",377.312412353081,151,168
"1161",2231289545,"V","unilateral","olfactory",257.504131558257,185,192
"1162",2231289597,"V","unilateral","olfactory",327.198909566369,164,166
"1163",2231293819,"V","unilateral","olfactory",310.82334791223,161,178
"1164",2231293853,"V","unilateral","olfactory",205.580639429816,143,165
"1165",2231298121,"V","unilateral","olfactory",310.931486375368,160,174
"1166",2231298154,"V","unilateral","olfactory",308.715919010712,154,158
"1167",2231298170,"V","unilateral","olfactory",303.681889811366,159,165
"1168",2256509698,"VP3","unilateral","thermo-hygro",193.392442570696,194,307
"1169",2259228827,"VL1","unilateral","olfactory",187.116098408428,80,83
"1170",2259241827,"VL1","unilateral","olfactory",170.068658827392,80,80
"1171",2259613201,"VM7v","ipsilateral","olfactory",82.5046704440898,55,55
"1172",2261637853,"V","unilateral","olfactory",302.490278212007,182,186
"1173",2261965878,"V","unilateral","olfactory",309.152260068358,184,188
"1174",2261970553,"V","unilateral","olfactory",345.041984801501,163,165
"1175",2261987736,"V","unilateral","olfactory",337.785634607752,175,180
"1176",2261992182,"V","unilateral","olfactory",367.996377265849,164,178
"1177",2262324036,"V","unilateral","olfactory",381.275817733505,179,182
"1178",2262324061,"V","unilateral","olfactory",338.070683598489,169,184
"1179",2262328440,"V","unilateral","olfactory",323.921239393876,180,186
"1180",2262328549,"V","unilateral","olfactory",402.683853210341,170,179
"1181",2262332862,"V","unilateral","olfactory",287.634705552335,170,182
"1182",2290303228,"V","unilateral","olfactory",273.025866515347,176,189
"1183",2291999690,"V","unilateral","olfactory",338.491323814347,152,161
"1184",2292327595,"V","unilateral","olfactory",279.852293351844,182,193
"1185",2292672665,"V","unilateral","olfactory",315.279283328237,165,169
"1186",2320655662,"V","unilateral","olfactory",268.950230361717,180,186
