"bodyid","pre","post","upstream","downstream","status","name","voxels","soma","side","connectivity.type","cell.type","class","cellBodyFiber","ItoLee_Lineage","ItoLee_Hemilineage","Hartenstein_Lineage","Hartenstein_Hemilineage","putative.classic.transmitter","putative.other.transmitter","FAFB.match","FAFB.match.quality","layer","ct.layer","axon.outputs","dend.outputs","axon.inputs","dend.inputs","total.length","axon.length","dend.length","pd.length","segregation_index","notes"
790918176,122,342,342,1150,"Traced","LHPV4a2_R",237318425,FALSE,"right","LHPV4a2","LHPV4a2","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940624120578","good",3.38773388773389,3,697,408,110,217,1206.30727556475,237.062873042158,606.8434785801,54.6141337471424,0.0578011728619512,NA
760566735,115,440,440,1005,"Traced","LHPV4a2_R",220079702,FALSE,"right","LHPV4a2","LHPV4a2","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940600165625","good",3.30769230769231,3,630,364,151,284,1276.12658690214,343.221897933348,530.427541068098,94.6935321459249,0.0574952776479397,NA
5813064407,123,547,547,1150,"Traced","LHPV4a2_R",322679991,TRUE,"right","LHPV4a2","LHPV4a2","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940618101381","good",3.25960539979232,3,817,277,301,232,1381.27590343011,508.689673636751,375.472864511047,68.0836446024228,0.0262113023035542,NA
790917992,129,112,112,1036,"Traced","LHPV4a3_R",179045176,FALSE,"right","LHPV4a3","LHPV4a3","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940618086277","good",3.23232323232323,3,945,84,62,48,1059.34157925638,411.03108392065,229.983809305959,92.0631750795579,0.116750274947901,NA
760907730,140,276,276,1390,"Traced","LHPV4a4_a_R",241765761,TRUE,"right","LHPV4a4_a","LHPV4a4_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940611719285","medium",3.2472024415056,3,693,697,51,221,1230.63361296827,197.224428385865,552.978072745874,59.6740669257391,0.0650110056405009,NA
760566746,105,215,215,1069,"Traced","LHPV4a4_b_R",219969433,TRUE,"right","LHPV4a4_b","LHPV4a4_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940616374395","medium",3.14795918367347,3,621,356,118,73,1055.63979759321,377.083530641875,234.381493516806,36.2626040953662,0.00020882868237837,NA
760566454,134,312,312,1309,"Traced","LHPV4a4_b_R",165215568,FALSE,"right","LHPV4a4_b","LHPV4a4_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940600932186","good",3.1952479338843,3,581,648,114,185,1195.6616459122,244.392397270648,457.458431907181,91.9818721304464,0.00542490485559977,NA
760566744,117,102,102,1007,"Traced","LHPV4a4_c_R",210040619,TRUE,"right","LHPV4a4_c","LHPV4a4_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940605749877","medium",3.17871485943775,3,187,785,4,93,949.90655456934,111.596306838543,411.905186423051,58.6519422586236,0.0280877360187287,NA
729518762,163,112,112,1415,"Traced","LHPV4a4_c_R",257683339,TRUE,"right","LHPV4a4_c","LHPV4a4_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940629308883","good",3.12919633774161,3,1197,199,55,54,1094.16513642264,386.8666864082,240.734709795616,53.1356119914334,0.0876196977490238,NA
5813070112,99,172,172,831,"Traced","LHPV4a5_a_R",145776958,FALSE,"right","LHPV4a5_a","LHPV4a5_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940606968515","medium",3.04620123203285,3,667,164,59,109,942.071509563212,305.558518954159,292.492749059012,61.8345106057673,0.141962243284137,NA
730222949,95,164,164,866,"Traced","LHPV4a5_a_R",195652142,TRUE,"right","LHPV4a5_a","LHPV4a5_a","LHON","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940609680932","good",3.05241521068859,3,664,202,52,107,959.176136382436,243.026101576311,314.264137900943,55.62338680871,0.127766224172531,NA
730563850,95,165,165,807,"Traced","LHPV4a5_a_R",233968196,TRUE,"right","LHPV4a5_a","LHPV4a5_a","LHON","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940618097541","good",3.08682328907048,3,676,125,46,114,1016.67676637342,190.933597626916,353.525208573588,55.8452168563468,0.222207629408003,NA
605416852,94,159,159,906,"Traced","LHPV4a5_b_R",127779487,FALSE,"right","LHPV4a5_b","LHPV4a5_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940610806499","poor",3.09577754891864,3,496,410,47,107,945.062265041865,226.188283857268,357.190456912167,57.3316122203914,0.0359033141571325,NA
637121560,147,271,271,1591,"Traced","LHPV4a5_b_R",171784214,FALSE,"right","LHPV4a5_b","LHPV4a5_b","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940619173046","good",3.190625,3,1072,517,99,168,1214.85387678895,345.212946345323,475.860117197055,62.6086625827625,0.0570798270051417,NA
729867427,167,326,326,1794,"Traced","LHPV4a6_R",242691130,TRUE,"right","LHPV4a6","LHPV4a6","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940642111865","medium",3.17750257997936,3,905,886,101,213,1369.83716866638,266.924365114275,579.319464852412,46.1836472829942,0.0208251529546163,NA
697801711,97,163,163,893,"Traced","LHPV4a7_a_R",196362979,TRUE,"right","LHPV4a7_a","LHPV4a7_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","none","none",3.32271325796506,3,771,122,61,102,1005.79640868301,325.022885837736,269.928495948595,40.1014703282066,0.180094145906345,NA
634711906,76,112,112,647,"Traced","LHPV4a7_a_R",182457637,TRUE,"right","LHPV4a7_a","LHPV4a7_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940624214168","medium",3.14401622718053,3,569,78,40,68,846.658936678388,281.097074063363,204.327459557971,45.7820623778095,0.198334933107909,NA
666769954,120,167,167,1086,"Traced","LHPV4a7_a_R",243765177,TRUE,"right","LHPV4a7_a","LHPV4a7_a","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940604610709","medium",3.14419087136929,3,936,150,66,98,1074.37915008599,344.074299327169,280.221166192837,55.2521795679861,0.156671389284507,NA
603340681,102,238,238,1062,"Traced","LHPV4a7_b_R",148102682,FALSE,"right","LHPV4a7_b","LHPV4a7_b","LHON","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940597817753","good",3.39896907216495,3,783,279,101,135,1096.07043489749,388.673809465833,356.929291290689,48.600842508194,0.064904771654746,NA
634717239,92,205,205,805,"Traced","LHPV4a7_b_R",208257838,TRUE,"right","LHPV4a7_b","LHPV4a7_b","LHON","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940642484857","good",3.25708289611752,3,546,250,68,133,977.756866379555,299.486019857738,333.711177958232,37.4951132927709,0.0799725377428085,NA
605727696,112,224,224,1038,"Traced","LHPV4a7_c_R",225533199,TRUE,"right","LHPV4a7_c","LHPV4a7_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940618044549","good",3.22903885480573,3,845,193,98,124,1160.20436437104,423.638352211267,333.686004526841,44.2559758243552,0.102032934735695,NA
5813048298,378,450,450,4042,"Traced","LHPV4a7_c_R",519607721,TRUE,"right","LHPV4a7_c","LHPV4a7_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940602285169","poor",3.158953722334,3,2467,1575,240,206,1941.89786827302,628.067704980802,540.216487275798,15.8754353631687,0.00297159652596324,NA
698820341,127,201,201,1257,"Traced","LHPV4a7_c_R",248508929,TRUE,"right","LHPV4a7_c","LHPV4a7_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940633907886","good",3.11855670103093,3,805,401,96,88,1237.32867110218,324.001563668979,377.849010730601,46.296943497508,0.0132194931877767,NA
698846552,98,170,170,870,"Traced","LHPV4a7_c_R",237243991,TRUE,"right","LHPV4a7_c","LHPV4a7_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940607931721","medium",3.11349693251534,3,649,221,72,96,1084.27235290502,355.913660808358,293.772190726034,75.7932632905718,0.0674194227712975,NA
759888036,219,214,214,2098,"Traced","LHPV4a7_c_R",299104359,TRUE,"right","LHPV4a7_c","LHPV4a7_c","LHLN","PDL08","LHp1","LHp1","BLP4","BLP4","glutamate","unknown","720575940646382713","poor",3.3264887063655,3,1060,1019,73,119,1247.09866473396,302.184205393579,422.060378288817,39.5890116632718,0.00906290765864315,NA
