"bodyid","X","Y","Z"
"5813035204","848","22096","15740"
"5813035168","141","22172","15700"
"5813035150","153","23422","12767"
"5813013443","240","23789","12370"
"5813012889","1555","21478","15144"
"5813012448","652","22358","14888"
"5813010799","2472","20815","16832"
"5813009261","993","21555","15834"
"1166761119","1012","22764","14521"
"979857196","759","20496","14284"
"975072882","489","21343","14044"
"947462997","1535","22001","16467"
"947453617","630","21899","15938"
"947103902","626","23060","14220"
"946123380","417","19263","12850"
"944729312","439","23197","13439"
"944055652","674","19674","12798"
"918468865","461","21196","13530"
"916773484","1179","22210","15620"
"916763916","495","22346","13659"
"913013165","519","21752","14135"
"912663435","245","22267","15997"
"911984113","865","22264","12895"
"886095820","1072","20546","15190"
"881986401","575","21910","15571"
"857451691","447","18777","12877"
"852976677","1536","23301","17852"
"852678239","410","18936","13402"
"851309562","426","20727","15102"
"849918343","125","22952","12329"
"822622842","2814","22796","18164"
"821306235","348","21505","15161"
"818888010","272","21513","12074"
"788173517","846","23268","14598"
"764339342","3070","22016","15162"
"761575136","262","20936","15742"
"761232088","970","22958","14914"
"761229983","230","18396","13328"
"760902933","220","22060","11750"
"760541793","1952","22856","15626"
"734667914","144","23823","12705"
"731923098","963","20438","14727"
"731270909","1704","22801","17752"
"730537677","818","22547","16456"
"729211483","1665","21365","17212"
"728483249","1246","19508","14966"
"727808408","2724","20394","16374"
"700884019","785","21473","15406"
"699161039","543","21930","14663"
"699160906","666","21468","16080"
"698829728","1096","22343","16934"
"697793250","826","21252","16554"
"697456597","1235","22604","15519"
"696772937","1423","21912","17021"
"696095464","1221","20780","16331"
"669857319","170","23686","13257"
"668485522","1718","20506","16459"
"668148078","1365","21328","16609"
"667141710","51","22289","16156"
"666451615","1804","20964","16722"
"665735597","1054","21612","14873"
"635385969","414","20504","14024"
"635091875","719","20908","14738"
"634712940","1732","22988","15092"
"634712475","1913","22211","17488"
"634363193","747","22658","15446"
"608465100","1142","21309","16247"
"605723658","625","22666","14024"
"576773752","396","21318","15640"
"575729037","715","22522","13301"
"573324939","542","21838","15048"
"545738451","1071","21908","16636"
"543333530","604","23006","14754"
"542639377","1085","21784","16216"
"542293528","666","21046","15216"
"511949534","717","22049","13423"
"483712161","614","20279","15523"
"421946059","531","20160","12134"
"419548541","792","23384","15023"
"389217959","1741","22424","16803"
"389204929","1667","21162","16000"
"330268940","2759","21280","16658"
"327499164","1088","21162","13612"
"298210543","558","19222","14322"
"295443136","2458","22240","18135"
"5813078261","1335","23012","16826"
"5813068669","1940","21600","16984"
"5813061690","675","20123","14855"
"5813055853","2489","22423","17614"
"5813019955","3412","21258","16908"
"5813019868","2287","21532","15361"
"829145708","622","19868","14130"
"580227374","1204","20892","15677"
"481657750","460","22636","15876"
"327147292","2174","22996","18425"
"1201615899","10914","32454","17328"
"1170865953","11869","32650","17077"
"5813078340","11070","32776","18396"
"731688775","11364","33480","19624"
"729997357","11738","32518","18998"
"5813058047","10894","32730","18866"
"5813041169","12738","32711","20130"
"890614937","11208","33162","18965"
"794462286","11464","32201","18614"
"737486877","12503","33207","21087"
"731357364","11874","32770","19538"
"730687491","9356","32317","17304"
"699976619","11164","32404","18818"
"675809900","11816","33690","19572"
"675127915","12812","34182","20420"
"610981584","12560","32878","20676"
"610299911","12256","32938","20151"
"607894716","11907","32917","18701"
"607221569","11217","32724","19431"
"579946370","12397","32009","18761"
"577205270","10626","32690","18328"
"576519520","11531","32459","19282"
"546507208","12244","32941","19679"
"546196205","11046","32070","18513"
"423096449","11688","32877","20559"
"862270098","11832","34836","19576"
"5901201676","10828","33278","18901"
"5813078739","11318","33103","19274"
"5813078350","12065","33351","20773"
"5813041304","13091","34685","19705"
"5812986870","11966","33440","21245"
"5812986547","12028","32943","20542"
"5812983128","11564","34256","19494"
"5812980915","11700","33159","19684"
"1572520204","11520","33778","20651"
"1325138116","10841","33681","18849"
"1298804357","11870","33807","18471"
"1200942353","11062","33918","17862"
"1200610109","11137","32856","17836"
"1200605580","11205","33876","20381"
"1200273581","14508","35384","19834"
"1171910380","11659","34090","18165"
"1170935308","10578","33219","18477"
"1169898618","12484","34408","17074"
"1169576040","11911","33449","18694"
"1140872223","14484","35474","20216"
"1140534972","13242","34743","20122"
"1140240894","11611","33857","20048"
"1140189329","10797","33611","17986"
"1139524692","11757","33908","21321"
"1139516013","11441","33755","18534"
"1139515440","10376","33330","17430"
"1109163019","13132","32482","18414"
"1109158650","10762","33600","17416"
"1108485790","11282","33327","18563"
"1108459071","11531","34249","18675"
"1108166986","11732","34010","18858"
"1108152508","14004","34580","20628"
"1101094884","11050","34016","18622"
"1077783627","12068","33942","21595"
"1077778869","13440","34534","19470"
"1077778701","12134","33765","20512"
"1077459090","12119","34165","16865"
"1077459077","12294","33196","17970"
"1077434447","11902","34362","18520"
"1047426385","13430","33606","19061"
"1047421689","13426","33069","18784"
"1046735096","13775","34964","20269"
"1046726261","13500","33838","18714"
"1015700298","13240","33886","20636"
"1015479949","12358","32286","20208"
"1015385741","13370","34394","20480"
"986089634","11744","33682","20974"
"979666456","10486","33335","17948"
"955733080","12010","33327","19299"
"947233211","11949","34672","20045"
"923989857","11551","33568","18981"
"915519608","10882","33199","18219"
"894707517","11646","34462","19226"
"894362173","10932","33680","18507"
"892614148","11484","34378","20109"
"885495731","10598","32778","18011"
"863331646","11356","33762","19244"
"862597411","9562","31636","17352"
"862270029","10924","33914","19176"
"861924744","11928","34006","19224"
"861574580","10222","32888","17974"
"861237607","11265","34226","19019"
"860905704","11752","33040","18944"
"860892243","11971","33490","20010"
"792800570","12087","34327","21352"
"761040902","12264","34158","19689"
"760703506","12135","32623","20521"
"732082028","11218","34084","18272"
"729007988","12341","34227","20816"
"704785058","10447","31996","18337"
"673413730","9796","32650","17593"
"642509080","12549","34614","20163"
"639655157","11315","32244","19500"
"576898212","12351","33361","20560"
"576566287","9805","32130","17740"
"483797945","11123","34068","19721"
"5901196318","1726","23836","15696"
"5813099605","1406","24184","15781"
"5813069640","1912","23934","15290"
"5813055709","4780","25746","18926"
"5813047053","3006","22255","16784"
"5813039875","3428","26699","19439"
"5813032753","2780","23532","16432"
"5813011298","2462","24272","18350"
"696850811","2468","22180","16282"
"544038013","2014","23441","16370"
"513339951","3810","24048","16051"
"510987433","3401","25364","19152"
"510282921","3912","22935","16557"
"484126552","3022","23304","16796"
"480276374","2377","22461","15776"
"479912747","3953","26646","19520"
"479912666","2440","24020","16391"
"453662475","2093","24554","16936"
"451952653","3086","22865","17385"
"450609788","1939","23811","16189"
"449241371","3874","26455","18185"
"423416887","2952","24088","15530"
"420567894","2289","23963","15609"
"390961490","3359","22785","17063"
"390271275","2016","23860","17535"
"327843160","4019","26223","16350"
"327158831","5072","27918","19092"
"326496740","1633","23885","16616"
"297221971","3330","23602","15897"
"297179343","1640","24346","16339"
"296544262","3849","24749","16095"
"296148102","864","25081","13940"
"295466276","763","24475","13833"
"265124786","2378","23206","17706"
"5901193416","2320","23576","15346"
"5813088391","1748","23229","14439"
"5813069636","1925","24272","14847"
"5813047772","3033","25916","18600"
"5813039877","2924","26082","17176"
"486880919","3554","25843","17484"
"484350664","4062","24330","16366"
"484015147","2601","24453","16467"
"480244962","2142","23103","15920"
"479908320","2936","26578","19978"
"454003707","2586","23064","15595"
"452953198","2252","25794","19040"
"420572095","1964","24330","15372"
"419919816","3693","22303","16631"
"418870503","2009","23191","15417"
"388553520","2783","23588","15646"
"356472628","4396","27204","19606"
"326817334","5652","28252","18862"
"326500709","1948","25748","18216"
"296841676","1626","24781","16599"
"295779961","2065","23185","14921"
"295124412","1824","25312","17720"
"790313423","5260","24826","17960"
"5813035213","2058","23270","16850"
"5813032721","3676","24615","16560"
"5813010968","2565","24214","15914"
"5812980494","4046","23392","16366"
"5812980473","2652","23475","17339"
"886527723","3958","25395","16262"
"852414623","4478","25315","15949"
"821366958","2391","26209","19365"
"821366556","2123","24986","17317"
"758960629","3144","25232","17077"
"728274770","2580","24646","17080"
"728230690","2549","25159","17116"
"727889637","2292","22364","16968"
"701915554","2872","22784","15801"
"697533563","2061","24298","16442"
"696859236","2334","22761","15264"
"666843563","4482","24292","16135"
"666503184","4165","23831","16176"
"665466951","3140","24522","16414"
"575409592","3188","24685","16931"
"575068849","1990","24743","17661"
"546412678","4446","24756","16153"
"544720220","2610","23230","16038"
"544383511","3566","23407","16952"
"544038227","3014","22773","16304"
"510921766","1619","23928","16226"
"483324087","3521","24212","15575"
"482637370","1836","23775","17025"
"480581727","3413","25048","16535"
"480240812","2958","24036","16032"
"479925776","2885","25694","17388"
"479908437","2363","23659","15972"
"420581268","1631","23450","16170"
"418585726","1950","23648","14968"
"389559112","1482","24398","15373"
"387878711","1635","23490","15192"
"358197600","1537","23950","14843"
"357522570","1097","23929","13722"
"326159593","1554","23474","15611"
"325826011","1391","23969","15266"
"295482578","1306","24414","13956"
"295470816","1931","23520","15786"
"5813096198","11707","32966","16898"
"5813070569","13850","33318","19252"
"761044410","11031","33231","15325"
"760358472","11742","33816","17444"
"760021137","11330","33704","17560"
"730005624","11969","32897","17627"
"728995438","10813","33538","16959"
"706473389","11167","33765","16777"
"700356592","11324","33098","16508"
"674760695","11027","33191","17353"
"673746538","11601","33239","16257"
"643060819","13844","34577","19146"
"642715875","11146","33295","16333"
"642715563","11902","33537","16411"
"609975449","10863","32896","16337"
"608948356","12104","34004","15928"
"579963818","10710","32937","17537"
"5813069696","13157","34098","18481"
"5813065506","12698","34421","18674"
"5813061934","11409","33353","17036"
"5813053669","11146","33051","16884"
"5813022469","9843","32624","16124"
"5813016915","11776","33186","17314"
"5813014029","11994","33494","17757"
"5813013678","11694","34037","16758"
"5812987236","12564","31973","18107"
"5812986876","11746","33921","16326"
"5812979232","10310","32995","15576"
"1355115431","12632","34206","16477"
"1233281209","11702","32974","16430"
"1232983358","9584","32136","16833"
"1232979445","9949","32736","16518"
"1229633648","11300","33644","15760"
"1202241942","13595","34090","19309"
"1201961255","12903","34417","18269"
"1201624330","13734","34962","19938"
"1200290859","12726","34366","17832"
"1171954356","13667","35098","19261"
"1171902272","12544","34784","18265"
"1171613286","13884","34748","19501"
"1171613107","13309","34614","18778"
"1171207096","10820","32700","16900"
"1170857299","10538","32372","17467"
"1167563540","12973","34580","19083"
"1141213129","9596","32425","16420"
"1141195327","11081","33755","17177"
"1140862679","10154","32520","17484"
"1140517447","13121","33558","18494"
"1140508414","13220","34203","19016"
"1110868515","13339","35046","19453"
"1110221199","15143","34981","19951"
"1110173824","13035","35072","19100"
"1110164795","10348","32746","16676"
"1109478369","13114","35020","18258"
"1105839176","13218","35099","18801"
"1078447660","13230","34618","18138"
"1078443080","12275","34301","18265"
"1077752379","11895","33477","17091"
"1041395080","9872","32928","16861"
"1009004209","15588","34984","21140"
"1008663864","11752","34271","17730"
"986098785","10108","33022","17379"
"954679716","12327","34341","17884"
"892959869","10977","33632","16218"
"892609503","9589","32567","16969"
"892286449","11980","34478","18004"
"892268533","11366","33819","16388"
"862947261","10102","32409","17066"
"862270125","13743","35001","18714"
"862265395","13925","34478","19850"
"861928967","12747","34853","17806"
"861583277","10703","33148","15663"
"861241941","12355","34584","17511"
"861237679","10487","33219","16576"
"769195048","10259","32928","16182"
"759681018","12109","32363","17541"
"734473582","11443","34075","17209"
"705454177","12038","33948","18032"
"704111734","11883","34194","17369"
"703438567","11010","33344","15810"
"703101952","12791","34976","18617"
"702069970","12599","33977","18349"
"699998408","10548","33236","16907"
"675447609","10651","33209","16131"
"669978138","12130","34022","16440"
"669666822","10410","32717","17221"
"644433538","14209","33693","19823"
"612034653","14183","34223","19590"
"453087379","14545","34721","19615"
"5813041349","34412","25930","20410"
"857210366","34402","25872","20916"
"826857417","34406","25874","20350"
"793439006","34394","25960","20784"
"732038716","34408","26040","20766"
"5813104563","2102","25196","14420"
"5813082780","3143","25459","15506"
"5813067769","3303","24604","15351"
"5812980732","2660","26320","17985"
"760306167","3083","26847","19126"
"735470305","3583","25435","16004"
"640276971","3095","24970","15600"
"609591891","2560","25748","15915"
"609591823","2186","25706","15453"
"609591686","2448","25497","14998"
"609247082","4080","25750","15869"
