bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,presyn.glom,layer,ct.layer,axon.outputs,axon.inputs,total.length,cable.length.glom.um,axon.length,notes
1764703462,54,43,43,229,Orphan,ORN_DA1_L,44963268,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,53,1,1,229,43,177.0356011,59.96574948,177.0356011,
1797444052,15,19,19,61,Orphan,ORN_DA1,31672685,FALSE,NA,ORN_DA1,ORN_DA1,ORN,NA,DA1,15,1,1,61,16,229.5400694,42.59791635,229.5400694,
1827451271,55,72,72,281,Orphan,ORN_DA1_R,54392795,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,55,1,1,281,71,264.2100296,108.0493926,264.2100296,
1574160129,43,54,54,199,Traced,ORN_DA1_L,56868053,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,42,1,1,199,53,319.4854663,83.5411661,319.4854663,
1574833154,57,40,40,251,Traced,ORN_DA1_L,63648396,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,52,1,1,248,39,298.3033823,63.00109781,298.3033823,
1575170261,55,55,55,259,Traced,ORN_DA1_L,57149493,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,54,1,1,259,53,271.4294401,71.77757391,271.4294401,
1639938708,38,37,37,164,Traced,ORN_DA1_L,41171843,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,38,1,1,164,37,154.1298277,49.81532766,154.1298277,
1669949998,56,49,49,242,Traced,ORN_DA1_L,64855661,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,53,1,1,242,49,275.8618109,78.08839804,275.8618109,
1670627821,57,48,48,248,Traced,ORN_DA1_L,67430640,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,53,1,1,248,48,332.6461324,87.56357505,332.6461324,
1671620813,59,62,62,268,Traced,ORN_DA1_L,56823382,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,58,1,1,265,61,163.9105098,104.8770001,163.9105098,
1671629267,51,40,40,234,Traced,ORN_DA1_L,66518215,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,49,1,1,232,40,266.5363708,57.91819197,266.5363708,
1671629301,40,35,35,171,Traced,ORN_DA1_L,63872834,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,37,1,1,171,34,279.390978,57.09167195,279.390978,
1671966064,85,83,83,403,Traced,ORN_DA1_R,63972701,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,85,1,1,403,83,257.0861253,134.5490085,257.0861253,
1671966114,60,39,39,239,Traced,ORN_DA1_L,56184265,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,60,1,1,239,39,264.0435195,66.91301922,264.0435195,
1671966254,47,36,36,236,Traced,ORN_DA1_L,45661323,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,47,1,1,236,36,219.4222125,71.72641651,219.4222125,
1671970212,48,63,63,214,Traced,ORN_DA1_L,57895814,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,42,1,1,214,63,320.9265882,87.53193492,320.9265882,
1671970238,63,84,84,323,Traced,ORN_DA1_R,74749109,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,62,1,1,323,82,351.6152527,83.49576057,351.6152527,
1671970367,55,52,52,245,Traced,ORN_DA1_L,66389280,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,52,1,1,241,51,319.189772,87.25921073,319.189772,
1671970683,70,66,66,304,Traced,ORN_DA1_L,68205785,FALSE,B-contra,ORN_DA1,ORN_DA1,ORN,NA,DA1,69,1,1,304,64,309.2626482,97.48831336,309.2626482,
1671974365,83,87,87,448,Traced,ORN_DA1_R,58779257,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,81,1,1,448,87,243.1349205,108.325873,243.1349205,
1672307311,89,87,87,452,Traced,ORN_DA1_R,83658497,FALSE,B-ipsi,ORN_DA1,ORN_DA1,ORN,NA,DA1,83,1,1,452,87,410.6217619,129.8822262,410.6217619,
